"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction","Significance","chromosome_name","start_position","end_position"
"ENSG00000178538",323.832406889956,-0.764815577668601,0.108790096278577,-7.03019487831092,2.06245271856105e-12,7.01783911702375e-10,"CA8",767,"DOWN","Less Significant, Downregulated","X",48961378,48971844
"ENSG00000185507",19675.5783308472,1.79165230162301,0.254963010492931,7.02710678760473,2.10859989307892e-12,7.10717518678524e-10,"IRF7",3665,"UP","Less Significant, Upregulated","X",47232690,47248328
"ENSG00000137752",22255.6968561853,0.811898541615087,0.115646369790551,7.02052769218376,2.21031846336938e-12,7.27164366645577e-10,"CASP1",834,"UP","Less Significant, Upregulated","X",54748918,54798255
"ENSG00000183785",232.834368981926,1.34955577551465,0.192244018047098,7.02001440265374,2.21845376075817e-12,7.27164366645577e-10,"TUBA8",51807,"UP","Less Significant, Upregulated","X",101098218,101163681
"ENSG00000107201",11365.5073544799,1.50511549495668,0.21476500825235,7.00819703919442,2.4140867878169e-12,7.8409538868293e-10,"DDX58",23586,"UP","Less Significant, Upregulated","13",108251240,108308484
"ENSG00000205413",10672.9492212975,1.39271930274926,0.199032399184906,6.99745020636256,2.60662654733462e-12,8.39004984533075e-10,"SAMD9",54809,"UP","Less Significant, Upregulated","13",53028813,53052057
"ENSG00000169871",13481.1355562762,0.669871736447704,0.0966635179381032,6.92993334751839,4.21038947514161e-12,1.33122827582176e-09,"TRIM56",81844,"UP","Less Significant, Upregulated","16",20899868,20925006
"ENSG00000170581",25286.9203533879,1.27583717217622,0.1843198405219,6.92186564703886,4.4573389371292e-12,1.39694566268204e-09,"STAT2",6773,"UP","Less Significant, Upregulated","16",56730118,56850286
"ENSG00000151846",12723.0769512959,-0.642664638848149,0.093189770738829,-6.89630024575618,5.33743272931832e-12,1.64392928063004e-09,"PABPC3",5042,"DOWN","Less Significant, Downregulated","16",67562467,67639177
"ENSG00000179044",586.102968719939,2.14561725225693,0.311834457239425,6.88062913653425,5.95887993965862e-12,1.8196483973002e-09,"EXOC3L1",283849,"UP","Less Significant, Upregulated","16",1308880,1327018
"ENSG00000188282",632.734998368556,1.17442055205522,0.170804633143799,6.87581203412956,6.16377294422035e-12,1.86626508263648e-09,"RUFY4",285180,"UP","Less Significant, Upregulated","16",19167971,19268332
"ENSG00000185112",1376.22276493625,-0.776135165391014,0.112913855131046,-6.87369290943297,6.25608094035936e-12,1.8782963011526e-09,"FAM43A",131583,"DOWN","Less Significant, Downregulated","16",19555240,19706793
"ENSG00000188157",1464.62946194472,1.56880223704949,0.228691187398543,6.85991556952966,6.89012581387669e-12,2.05067903563303e-09,"AGRN",375790,"UP","Less Significant, Upregulated","8",140511311,140517154
"ENSG00000130066",40802.1539640394,0.893753317366177,0.130307884713903,6.85878156435778,6.94503367979167e-12,2.05067903563303e-09,"SAT1",6303,"UP","Less Significant, Upregulated","19",44954585,44993341
"ENSG00000070756",48025.8151866966,-0.63197010341969,0.0922722877105008,-6.84896970802828,7.43837439727735e-12,2.17834623332726e-09,"PABPC1",26986,"DOWN","Less Significant, Downregulated","19",7395113,7472484
"ENSG00000275342",1228.60292109749,-0.8139235604393,0.118873437858717,-6.84697586862642,7.5427435164271e-12,2.190952360609e-09,"PRAG1",157285,"DOWN","Less Significant, Downregulated","19",34359480,34402413
"ENSG00000152102",4550.66618634914,-0.419620240466217,0.0613053856571842,-6.84475329480361,7.66077768798858e-12,2.20729246158432e-09,"FAM168B",130074,"DOWN","Less Significant, Downregulated","19",48630030,48637379
"ENSG00000123130",4960.51713754479,0.855665988627598,0.125743870734888,6.80483258250925,1.01166815457689e-11,2.89159038613786e-09,"ACOT9",23597,"UP","Less Significant, Upregulated","19",42068477,42081552
"ENSG00000108691",112.344277878466,2.99040375319279,0.441365507187793,6.77534538719727,1.24109405039646e-11,3.49148096319408e-09,"CCL2",6347,"UP","Less Significant, Upregulated","7",107743949,107761667
"ENSG00000108448",667.736219382845,-0.665041911394174,0.0983353383516016,-6.76300018429074,1.35163065556497e-11,3.74349302806398e-09,"TRIM16L",147166,"DOWN","Less Significant, Downregulated","7",149838375,149867479
"ENSG00000165632",985.457235781169,-0.330207590023267,0.0488405881321764,-6.76092575154158,1.37112781611451e-11,3.76828112416457e-09,"TAF3",83860,"DOWN","Less Significant, Downregulated","9",32455302,32526208
"ENSG00000003147",569.859411033451,0.585577041362387,0.08664063539948,6.75868821439762,1.39246677680225e-11,3.79771396958709e-09,"ICA1",3382,"UP","Less Significant, Upregulated","17",18697998,18736118
"ENSG00000117010",446.968177902739,1.53083550062015,0.227257008113249,6.7361421032934,1.62647225071123e-11,4.36921808822639e-09,"ZNF684",127396,"UP","Less Significant, Upregulated","17",17494437,17496395
"ENSG00000171056",8.95646619221075,-1.25871006623256,0.187094256667874,-6.72767881093751,1.72390924901807e-11,4.59640519768043e-09,"SOX7",83595,"DOWN","Less Significant, Downregulated","17",78971238,78979947
"ENSG00000089486",2037.62341802547,-0.599108634698721,0.0890867355102583,-6.72500379845813,1.75587861827158e-11,4.64045119729856e-09,"CDIP1",29965,"DOWN","Less Significant, Downregulated","17",34255218,34257203
"ENSG00000011304",8296.14934649324,-0.50850315287951,0.0756235968029618,-6.72413339720433,1.76640551621307e-11,4.64045119729856e-09,"PTBP1",5725,"DOWN","Less Significant, Downregulated","17",34319435,34321402
"ENSG00000154122",6820.56220896047,-0.370359438281411,0.0551590252894505,-6.71439417824964,1.88849169108328e-11,4.85410295964197e-09,"ANKH",56172,"DOWN","Less Significant, Downregulated","17",42101404,42112714
"ENSG00000111530",7381.42305522925,-0.839411045741676,0.125015866799834,-6.71443607302808,1.88794922767476e-11,4.85410295964197e-09,"CAND1",55832,"DOWN","Less Significant, Downregulated","17",69414697,69553865
"ENSG00000185880",5611.4745859527,0.801827030029547,0.119385688494334,6.716274288334,1.86429720974959e-11,4.85410295964197e-09,"TRIM69",140691,"UP","Less Significant, Upregulated","17",15229777,15265326
"ENSG00000123610",4491.26608116433,1.60133250211571,0.239296012213324,6.69184783860159,2.20369948537169e-11,5.62384108666856e-09,"TNFAIP6",7130,"UP","Less Significant, Upregulated","4",168092537,168187736
"ENSG00000163746",274.456450961254,1.1549821917102,0.172962220757417,6.67765588723614,2.42794298703264e-11,6.15216645678738e-09,"PLSCR2",57047,"UP","Less Significant, Upregulated","4",1871393,1982207
"ENSG00000163565",44694.4167786213,1.0662399601698,0.160275591353732,6.65254110849967,2.88075319748742e-11,7.24813734083314e-09,"IFI16",3428,"UP","Less Significant, Upregulated","4",17810979,17844865
"ENSG00000163666",126.152440018993,1.20878631118249,0.182289028024815,6.63115232046735,3.33076297732165e-11,8.26399303151028e-09,"HESX1",8820,"UP","Less Significant, Upregulated","12",51061205,51083664
"ENSG00000135899",8366.9648137446,0.853922029839729,0.128843307282239,6.62760098178142,3.41186228913983e-11,8.40682868044054e-09,"SP110",3431,"UP","Less Significant, Upregulated","12",67269358,67319953
"ENSG00000121552",2824.30414077994,1.09777859324696,0.165835038512736,6.61970234452385,3.59922861908192e-11,8.80775617140814e-09,"CSTA",1475,"UP","Less Significant, Upregulated","6",35943516,36024868
"ENSG00000183624",2314.26532496649,-0.450280911940174,0.0680540020453144,-6.61652361958597,3.67744140376049e-11,8.87754232929425e-09,"HMCES",56941,"DOWN","Less Significant, Downregulated","6",25962802,25991231
"ENSG00000106479",5252.87335252876,-0.596246321204296,0.0901087324725422,-6.61696491387206,3.66648472326543e-11,8.87754232929425e-09,"ZNF862",643641,"DOWN","Less Significant, Downregulated","6",485154,693139
"ENSG00000120280",2181.4088852225,0.890805579749316,0.134892682232151,6.60380952479124,4.00724336620135e-11,9.60877791863369e-09,"CXorf21",80231,"UP","Less Significant, Upregulated","6",44219505,44234151
"ENSG00000165185",1578.95383872671,1.27745990886161,0.193625113309174,6.59759411901184,4.17883405638628e-11,9.95342554443794e-09,"KIAA1958",158405,"UP","Less Significant, Upregulated","5",140245035,140303113
"ENSG00000005001",36.8919157252243,-0.828100209261033,0.125740475450112,-6.58578875494696,4.52476776848951e-11,1.06355857126706e-08,"PRSS22",64063,"DOWN","Less Significant, Downregulated","5",32124716,32174319
"ENSG00000101146",2012.74066211715,-0.244086697510306,0.0371241930636909,-6.57486876796344,4.86960975741126e-11,1.13713344714242e-08,"RAE1",8480,"DOWN","Less Significant, Downregulated","3",126988594,127037392
"ENSG00000012048",912.082867168457,0.604213724846612,0.0920367909679399,6.56491516590451,5.20624938070835e-11,1.20784985632434e-08,"BRCA1",672,"UP","Less Significant, Upregulated","3",70952817,71583993
"ENSG00000025708",31884.7368789822,0.946713485689976,0.144567009993968,6.54861358569617,5.8073678762741e-11,1.33003615053539e-08,"TYMP",1890,"UP","Less Significant, Upregulated","2",120013077,120179119
"ENSG00000117519",116.815443257258,-0.56891226374073,0.08703605515413,-6.5365125146499,6.29698713272939e-11,1.41496073130916e-08,"CNN3",1266,"DOWN","Less Significant, Downregulated","2",24067586,24076373
"ENSG00000114861",1924.25616697511,-0.58061353369424,0.088862343326548,-6.53385350823603,6.40986438727171e-11,1.43132271767777e-08,"FOXP1",27086,"DOWN","Less Significant, Downregulated","2",26457203,26558698
"ENSG00000125148",4682.21042443532,1.82175618975342,0.278962377391564,6.53047269953655,6.55624381169546e-11,1.45491601803885e-08,"MT2A",4502,"UP","Less Significant, Upregulated","19",1491166,1497927
"ENSG00000136147",8317.69088726284,0.91069365357493,0.139518840522616,6.52738834528448,6.69263629063119e-11,1.47601549007204e-08,"PHF11",51131,"UP","Less Significant, Upregulated","2",162267074,162318684
"ENSG00000148600",181.934359063959,-0.838629268364775,0.128658632900601,-6.51825104509452,7.11318729557882e-11,1.5496338761978e-08,"CDHR1",92211,"DOWN","Less Significant, Downregulated","2",190964358,191020960
"ENSG00000153944",4043.91712125192,-0.366766246042147,0.0563257922158084,-6.51151509129081,7.43965523290136e-11,1.59164073150359e-08,"MSI2",124540,"DOWN","Less Significant, Downregulated","2",70257386,70281185
"ENSG00000179348",2635.79111153947,-1.25038568846652,0.192067561680217,-6.51013465016209,7.5083471003656e-11,1.59677515001108e-08,"GATA2",2624,"DOWN","Less Significant, Downregulated","1",6613731,6624030
"ENSG00000149260",464.593599801089,-0.570730427037884,0.0877265023817421,-6.50579256601785,7.72848109875274e-11,1.63386492719667e-08,"CAPN5",726,"DOWN","Less Significant, Downregulated","1",111542218,111716691
"ENSG00000128383",83849.3084818375,1.12392458226946,0.173151574452242,6.49098678903126,8.52759577213133e-11,1.78171895758309e-08,"APOBEC3A",200315,"UP","Less Significant, Upregulated","1",11664200,11674354
"ENSG00000130487",1553.76472874066,1.8131160063084,0.279295043178576,6.49175862798658,8.48401105723043e-11,1.78171895758309e-08,"KLHDC7B",113730,"UP","Less Significant, Upregulated","1",40531573,40548167
"ENSG00000109099",111.402887058302,-0.879573125294775,0.135870834275711,-6.47359773702376,9.56964633743254e-11,1.98781583920808e-08,"PMP22",5376,"DOWN","Less Significant, Downregulated","1",81306160,81992436
"ENSG00000115109",983.986815544157,1.06108092905252,0.164006644949178,6.46974352399763,9.81693997391943e-11,2.01964306742404e-08,"EPB41L5",57669,"UP","Less Significant, Upregulated","1",89052319,89065230
"ENSG00000087237",1647.28649766815,1.13563362665075,0.176182897390521,6.44576541463922,1.1501844944522e-10,2.34821666387361e-08,"CETP",1071,"UP","Less Significant, Upregulated","1",94896949,94927223
"ENSG00000071242",2902.86202891257,-0.571445681466153,0.0889241753455128,-6.4262128858189,1.30822159687292e-10,2.63928983485538e-08,"RPS6KA2",6196,"DOWN","Less Significant, Downregulated","11",102711796,102727050
"ENSG00000100918",2772.50591874357,1.02994486573095,0.160291814838562,6.42543642523644,1.31491712551572e-10,2.63928983485538e-08,"REC8",9985,"UP","Less Significant, Upregulated","19",47475150,47484265
"ENSG00000146425",5638.35103714513,0.785990535470339,0.122425076871594,6.42017596031184,1.36116917172157e-10,2.71686324956805e-08,"DYNLT1",6993,"UP","Less Significant, Upregulated","4",17614641,17634105
"ENSG00000172183",16855.3225122588,0.83074290964299,0.129626624906301,6.40873671009705,1.46730332143658e-10,2.91243405934924e-08,"ISG20",3669,"UP","Less Significant, Upregulated","2",201071433,201085750
"ENSG00000272391",6913.92728131289,-0.3963488269655,0.0618651547763694,-6.40665700099232,1.48744931283685e-10,2.91997742027665e-08,"POM121C",100101267,"DOWN","Less Significant, Downregulated","14",94127779,94130253
"ENSG00000103275",4759.99601213253,-0.400493295559104,0.0625075891104007,-6.40711474012786,1.48299215717971e-10,2.91997742027665e-08,"UBE2I",7329,"DOWN","Less Significant, Downregulated","6",149749443,149811420
"ENSG00000168062",2991.40207025176,1.90405334770961,0.29811741396201,6.38692427391126,1.69255398273783e-10,3.30445730575176e-08,"BATF2",116071,"UP","Less Significant, Upregulated","X",30558809,30577766
"ENSG00000136715",2198.53880567045,-0.406982102872526,0.0638112537267334,-6.37790482248468,1.79527020292479e-10,3.46710344919443e-08,"SAP130",79595,"DOWN","Less Significant, Downregulated","13",36844831,36920765
